q,a
"แสดงProductNo,PPrice,PTotal ของ  products โดยเรียงลำดับ  PTotal  จากน้อยไปมาก ","SELECT  ProductNo,PPrice,PTotal  FROM products  ORDER BY  PTotal ;"
แสดงข้อมูลทั้งหมดของตาราง  orderss โดยเรียงลำดับ  Ototal  จากมากไปน้อย ,SELECT  *  FROM orderss  ORDER BY  Ototal  DESC ;
"แสดงOrderNo,CustomerNo ของ  orderss โดยเรียงลำดับ  CustomerNo  จากน้อยไปมาก ","SELECT  OrderNo,CustomerNo  FROM orderss  ORDER BY  CustomerNo ;"
"แสดงProductNo,PName,PPrice,PTotal ของ  products โดยเรียงลำดับ  PTotal  จากน้อยไปมาก ","SELECT  ProductNo,PName,PPrice,PTotal  FROM products  ORDER BY  PTotal ;"
แสดงข้อมูลทั้งหมดของตาราง  orders_details โดยเรียงลำดับ  quantity  จากมากไปน้อย ,SELECT  *  FROM orders_details  ORDER BY  quantity  DESC ;
แสดงquantity ของ  orders_details โดยเรียงลำดับ  quantity  จากน้อยไปมาก ,SELECT  quantity  FROM orders_details  ORDER BY  quantity ;
"แสดงProductNo,OrderNo,quantity ของ  orders_details โดยเรียงลำดับ  quantity  จากน้อยไปมาก ","SELECT  ProductNo,OrderNo,quantity  FROM orders_details  ORDER BY  quantity ;"
แสดงPTotal ของ  products โดยเรียงลำดับ  PTotal  จากน้อยไปมาก ,SELECT  PTotal  FROM products  ORDER BY  PTotal ;
แสดงข้อมูลทั้งหมดของตาราง  products โดยเรียงลำดับ  PTotal  จากมากไปน้อย ,SELECT  *  FROM products  ORDER BY  PTotal  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orders_details โดยเรียงลำดับ  quantity  จากมากไปน้อย ,SELECT  *  FROM orders_details  ORDER BY  quantity  DESC ;
"แสดงProductNo,PTotal,PName,PPrice ของ  products โดยเรียงลำดับ  PPrice  จากน้อยไปมาก ","SELECT  ProductNo,PTotal,PName,PPrice  FROM products  ORDER BY  PPrice ;"
"แสดงODate,CustomerNo,Ototal ของ  orderss โดยเรียงลำดับ  Ototal  จากน้อยไปมาก ","SELECT  ODate,CustomerNo,Ototal  FROM orderss  ORDER BY  Ototal ;"
แสดงข้อมูลทั้งหมดของตาราง  ค่าเฉลี่ยของ total order และจำนวนของ  total order  Ototal  so that the orderss with the largest Ototal appear first  ซึ่ง total มากกว่า น้อยกว่า .,"SELECT Ototal, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY Ototal HAVING AVG(Ototal)  < 13 ;"
แสดงข้อมูลทั้งหมดของตาราง  ค่าเฉลี่ยของ quantity product และจำนวนของ  order number  quantity  so that the orders_details with the largest quantity appear first  ซึ่ง total มากกว่า น้อยกว่า .,"SELECT quantity, AVG(quantity), OrderNo =  COUNT(*) FROM orders_details GROUP BY quantity HAVING AVG(quantity)  < 36 ;"
แสดงข้อมูลทั้งหมดของตาราง  orders_details โดยเรียงลำดับ  OrderNo  จากมากไปน้อย ,SELECT  *  FROM orders_details  ORDER BY  OrderNo  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  products โดยเรียงลำดับ  PPrice  จากมากไปน้อย ,SELECT  *  FROM products  ORDER BY  PPrice  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  ค่าเฉลี่ยของ quantity product และจำนวนของ  order number  OrderNo  so that the orders_details with the largest OrderNo appear first  ซึ่ง total มากกว่า น้อยกว่า .,"SELECT OrderNo, AVG(quantity), OrderNo =  COUNT(*) FROM orders_details GROUP BY OrderNo HAVING AVG(quantity)  < 21 ;"
แสดงข้อมูลทั้งหมดของตาราง  ค่าเฉลี่ยของ total order และจำนวนของ  total order  Ototal  so that the orderss with the largest Ototal appear first  ซึ่ง total มากกว่า น้อยกว่า .,"SELECT Ototal, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY Ototal HAVING AVG(Ototal)  < 86 ;"
แสดงข้อมูลทั้งหมดของตาราง  ค่าเฉลี่ยของ price product และจำนวนของ  product number  ProductNo  so that the products with the largest ProductNo appear first  ซึ่ง total มากกว่า น้อยกว่า .,"SELECT ProductNo, AVG(PPrice), ProductNo =  COUNT(*) FROM products GROUP BY ProductNo HAVING AVG(PPrice)  < 34 ;"
แสดงข้อมูลทั้งหมดของตาราง  orders_details โดยเรียงลำดับ  OrderNo  จากมากไปน้อย ,SELECT  *  FROM orders_details  ORDER BY  OrderNo  DESC ;
"แสดงProductNo,PName ของ  products โดยเรียงลำดับ  PName  จากน้อยไปมาก ","SELECT  ProductNo,PName  FROM products  ORDER BY  PName ;"
แสดงข้อมูลทั้งหมดของตาราง  products โดยเรียงลำดับ  PName  จากมากไปน้อย ,SELECT  *  FROM products  ORDER BY  PName  DESC ;
"แสดงquantity,ProductNo,OrderNo ของ  orders_details โดยเรียงลำดับ  OrderNo  จากน้อยไปมาก ","SELECT  quantity,ProductNo,OrderNo  FROM orders_details  ORDER BY  OrderNo ;"
แสดงข้อมูลทั้งหมดของตาราง  orders_details โดยเรียงลำดับ  ProductNo  จากมากไปน้อย ,SELECT  *  FROM orders_details  ORDER BY  ProductNo  DESC ;
แสดงProductNo ของ  orders_details โดยเรียงลำดับ  ProductNo  จากน้อยไปมาก ,SELECT  ProductNo  FROM orders_details  ORDER BY  ProductNo ;
แสดงข้อมูลทั้งหมดของตาราง  products โดยเรียงลำดับ  ProductNo  จากมากไปน้อย ,SELECT  *  FROM products  ORDER BY  ProductNo  DESC ;
"แสดงPPrice,PTotal,ProductNo ของ  products โดยเรียงลำดับ  ProductNo  จากน้อยไปมาก ","SELECT  PPrice,PTotal,ProductNo  FROM products  ORDER BY  ProductNo ;"
แสดงข้อมูลทั้งหมดของตาราง  orderss โดยเรียงลำดับ  OrderNo  จากมากไปน้อย ,SELECT  *  FROM orderss  ORDER BY  OrderNo  DESC ;
แสดงPName ของ  products โดยเรียงลำดับ  PName  จากน้อยไปมาก ,SELECT  PName  FROM products  ORDER BY  PName ;
แสดงOrderNo ของ  orderss โดยเรียงลำดับ  OrderNo  จากน้อยไปมาก ,SELECT  OrderNo  FROM orderss  ORDER BY  OrderNo ;
แสดงข้อมูลทั้งหมดของตาราง  orders_details โดยเรียงลำดับ  ProductNo  จากมากไปน้อย ,SELECT  *  FROM orders_details  ORDER BY  ProductNo  DESC ;
"แสดงquantity,ProductNo ของ  orders_details โดยเรียงลำดับ  ProductNo  จากน้อยไปมาก ","SELECT  quantity,ProductNo  FROM orders_details  ORDER BY  ProductNo ;"
แสดงข้อมูลทั้งหมดของตาราง  products โดยเรียงลำดับ  PName  จากมากไปน้อย ,SELECT  *  FROM products  ORDER BY  PName  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orders_details โดยเรียงลำดับ  ProductNo  จากมากไปน้อย ,SELECT  *  FROM orders_details  ORDER BY  ProductNo  DESC ;
แสดงProductNo ของ  orders_details โดยเรียงลำดับ  ProductNo  จากน้อยไปมาก ,SELECT  ProductNo  FROM orders_details  ORDER BY  ProductNo ;
"แสดงODate,Ototal,CustomerNo ของ  orderss โดยเรียงลำดับ  CustomerNo  จากน้อยไปมาก ","SELECT  ODate,Ototal,CustomerNo  FROM orderss  ORDER BY  CustomerNo ;"
แสดงquantity ของ  orders_details โดยเรียงลำดับ  quantity  จากน้อยไปมาก ,SELECT  quantity  FROM orders_details  ORDER BY  quantity ;
แสดงข้อมูลทั้งหมดของตาราง  products โดยเรียงลำดับ  ProductNo  จากมากไปน้อย ,SELECT  *  FROM products  ORDER BY  ProductNo  DESC ;
แสดงOtotal ของ  orderss โดยเรียงลำดับ  Ototal  จากน้อยไปมาก ,SELECT  Ototal  FROM orderss  ORDER BY  Ototal ;
แสดงข้อมูลทั้งหมดของตาราง  orderss โดยเรียงลำดับ  Ototal  จากมากไปน้อย ,SELECT  *  FROM orderss  ORDER BY  Ototal  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  products โดยเรียงลำดับ  ProductNo  จากมากไปน้อย ,SELECT  *  FROM products  ORDER BY  ProductNo  DESC ;
"แสดงPTotal,PPrice,PName,ProductNo ของ  products โดยเรียงลำดับ  ProductNo  จากน้อยไปมาก ","SELECT  PTotal,PPrice,PName,ProductNo  FROM products  ORDER BY  ProductNo ;"
แสดงข้อมูลทั้งหมดของตาราง  orderss โดยเรียงลำดับ  ODate  จากมากไปน้อย ,SELECT  *  FROM orderss  ORDER BY  ODate  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orders_details โดยเรียงลำดับ  quantity  จากมากไปน้อย ,SELECT  *  FROM orders_details  ORDER BY  quantity  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  orders_details โดยเรียงลำดับ  quantity  จากมากไปน้อย ,SELECT  *  FROM orders_details  ORDER BY  quantity  DESC ;
แสดงPTotal ของ  products โดยเรียงลำดับ  PTotal  จากน้อยไปมาก ,SELECT  PTotal  FROM products  ORDER BY  PTotal ;
"แสดงOrderNo,ProductNo,quantity ของ  orders_details โดยเรียงลำดับ  quantity  จากน้อยไปมาก ","SELECT  OrderNo,ProductNo,quantity  FROM orders_details  ORDER BY  quantity ;"
"แสดงPPrice,ProductNo,PTotal ของ  products โดยเรียงลำดับ  PTotal  จากน้อยไปมาก ","SELECT  PPrice,ProductNo,PTotal  FROM products  ORDER BY  PTotal ;"
แสดงOtotal ของ  orderss โดยเรียงลำดับ  Ototal  จากน้อยไปมาก ,SELECT  Ototal  FROM orderss  ORDER BY  Ototal ;
แสดงข้อมูลทั้งหมดของตาราง  ค่าเฉลี่ยของ total order และจำนวนของ  total order  Ototal  so that the orderss with the largest Ototal appear first  ซึ่ง total มากกว่า น้อยกว่า .,"SELECT Ototal, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY Ototal HAVING AVG(Ototal)  < 69 ;"
แสดงข้อมูลทั้งหมดของตาราง  ค่าเฉลี่ยของ quantity product และจำนวนของ  order number  OrderNo  so that the orders_details with the largest OrderNo appear first  ซึ่ง total มากกว่า น้อยกว่า .,"SELECT OrderNo, AVG(quantity), OrderNo =  COUNT(*) FROM orders_details GROUP BY OrderNo HAVING AVG(quantity)  < 29 ;"
แสดงข้อมูลทั้งหมดของตาราง  orders_details โดยเรียงลำดับ  ProductNo  จากมากไปน้อย ,SELECT  *  FROM orders_details  ORDER BY  ProductNo  DESC ;
แสดงข้อมูลทั้งหมดของตาราง  ค่าเฉลี่ยของ total order และจำนวนของ  total order  CustomerNo  so that the orderss with the largest CustomerNo appear first  ซึ่ง total มากกว่า น้อยกว่า .,"SELECT CustomerNo, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY CustomerNo HAVING AVG(Ototal)  < 71 ;"
แสดงข้อมูลทั้งหมดของตาราง  ค่าเฉลี่ยของ quantity product และจำนวนของ  order number  ProductNo  so that the orders_details with the largest ProductNo appear first  ซึ่ง total มากกว่า น้อยกว่า .,"SELECT ProductNo, AVG(quantity), OrderNo =  COUNT(*) FROM orders_details GROUP BY ProductNo HAVING AVG(quantity)  < 85 ;"
แสดง ค่าเฉลี่ยของ total order และจำนวนของ  total order  ODate  so that the orderss with the largest ODate appear first  ซึ่ง total มากกว่า น้อยกว่า .,"SELECT ODate, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY ODate HAVING AVG(Ototal)  < 71 ;"
แสดง ค่าเฉลี่ยของ price product และจำนวนของ  product number  ProductNo  so that the products with the largest ProductNo appear first  ซึ่ง total มากกว่า น้อยกว่า .,"SELECT ProductNo, AVG(PPrice), ProductNo =  COUNT(*) FROM products GROUP BY ProductNo HAVING AVG(PPrice)  < 37 ;"
แสดง ค่าเฉลี่ยของ quantity product และจำนวนของ  order number  โดยจัดกลุ่มตาม ProductNo  ซึ่งค่าเฉลี่ยของ  quantity product ต้องน้อยกว่า  46.,"SELECT ProductNo, AVG(quantity), OrderNo =  COUNT(*) FROM orders_details GROUP BY ProductNo HAVING AVG(quantity)  < 46 ;"
แสดง ค่าเฉลี่ยของ total order และจำนวนของ  total order  โดยจัดกลุ่มตาม ODate  ซึ่งค่าเฉลี่ยของ  total order ต้องน้อยกว่า  61.,"SELECT ODate, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY ODate HAVING AVG(Ototal)  < 61 ;"
แสดง ค่าเฉลี่ยของ price product และจำนวนของ  product number  โดยจัดกลุ่มตาม ProductNo  ซึ่งค่าเฉลี่ยของ  price product ต้องน้อยกว่า  39.,"SELECT ProductNo, AVG(PPrice), ProductNo =  COUNT(*) FROM products GROUP BY ProductNo HAVING AVG(PPrice)  < 39 ;"
แสดง ค่าเฉลี่ยของ price product และจำนวนของ  product number  โดยจัดกลุ่มตาม ProductNo  ซึ่งค่าเฉลี่ยของ  price product ต้องมากกว่า  72.,"SELECT ProductNo, AVG(PPrice), ProductNo =  COUNT(*) FROM products GROUP BY ProductNo HAVING AVG(PPrice)  > 72 ;"
แสดง ค่าเฉลี่ยของ total order และจำนวนของ  total order  โดยจัดกลุ่มตาม CustomerNo  ซึ่งค่าเฉลี่ยของ  total order ต้องน้อยกว่า  04.,"SELECT CustomerNo, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY CustomerNo HAVING AVG(Ototal)  < 04 ;"
แสดง ค่าเฉลี่ยของ total order และจำนวนของ  total order  โดยจัดกลุ่มตาม CustomerNo  ซึ่งค่าเฉลี่ยของ  total order ต้องมากกว่า  83.,"SELECT CustomerNo, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY CustomerNo HAVING AVG(Ototal)  > 83 ;"
แสดง ค่าเฉลี่ยของ total order และจำนวนของ  total order  โดยจัดกลุ่มตาม CustomerNo  ซึ่งค่าเฉลี่ยของ  total order ต้องน้อยกว่า  83.,"SELECT CustomerNo, AVG(Ototal), CustomerNo =  COUNT(*) FROM orderss GROUP BY CustomerNo HAVING AVG(Ototal)  < 83 ;"
แก้ไข quantity product ของ  quantity จาก 6 เป็น 300 ของตาราง orders_details  .,UPDATE orders_details SET quantity = 300  WHERE quantity = 6 ;
แก้ไข price product ของ  PPrice จาก 61 เป็น 527 ของตาราง products  .,UPDATE products SET PPrice = 527  WHERE PPrice = 61 ;
เปลี่ยน total product ของ  PTotal จาก 30 เป็น 535 ของตาราง products  .,UPDATE products SET PTotal = 535  WHERE PTotal = 30 ;
แก้ไข customer province ของ  CProvince จาก Chanthaburi เป็น Tvrxwnehdm ของตาราง customers  .,"UPDATE customers SET CProvince = ""Tvrxwnehdm""  WHERE CProvince = ""Chanthaburi"" ;"
เปลี่ยน date order ของ  ODate จาก 2016-04-12 เป็น 2017-01-23 ของตาราง orderss  .,"UPDATE orderss SET ODate = ""2017-01-23""  WHERE ODate = ""2016-04-12"" ;"
แก้ไข date order ของ  ODate จาก 2016-04-08 เป็น 2017-01-23 ของตาราง orderss  .,"UPDATE orderss SET ODate = ""2017-01-23""  WHERE ODate = ""2016-04-08"" ;"
แก้ไข product name จาก SVQTYFDHMO เป็น Wxemogfspa ของตาราง products  .,"UPDATE products SET PName = ""Wxemogfspa""  WHERE PName = ""SVQTYFDHMO"" ;"
แก้ไข quantity product จาก 4 เป็น 256 ของตาราง orders_details  .,UPDATE orders_details SET quantity = 256  WHERE quantity = 4 ;
แก้ไข total order จาก 3 เป็น 673 ของตาราง orderss  .,UPDATE orderss SET Ototal = 673  WHERE Ototal = 3 ;
เปลี่ยน total product  จาก 51 เป็น 836 ของตาราง products  .,UPDATE products SET PTotal = 836  WHERE PTotal = 51 ;
แก้ไข total product  จาก 30 เป็น 405 ของตาราง products  .,UPDATE products SET PTotal = 405  WHERE PTotal = 30 ;
แก้ไข quantity product  จาก 12 เป็น 150 ของตาราง orders_details  .,UPDATE orders_details SET quantity = 150  WHERE quantity = 12 ;
แก้ไข total order  จาก 5 เป็น 930 ของตาราง orderss  .,UPDATE orderss SET Ototal = 930  WHERE Ototal = 5 ;
แก้ไข customer address  จาก 214 M.12 เป็น Wutfvbmjog ของตาราง customers  .,"UPDATE customers SET CAddress = ""Wutfvbmjog""  WHERE CAddress = ""214 M.12"" ;"
เปลี่ยน quantity product  จาก 4 เป็น 415 ของตาราง orders_details  .,UPDATE orders_details SET quantity = 415  WHERE quantity = 4 ;
แสดง ค่าเฉลี่ยของ total order และจำนวนของ  date order  โดยจัดกลุ่มตาม Ototal  ซึ่งค่าเฉลี่ยของ  total order ต้องมากกว่า  76.,"SELECT Ototal, AVG(Ototal), ODate =  COUNT(*) FROM orders GROUP BY Ototal HAVING AVG(Ototal)  > 76 ;"
แสดง ค่าเฉลี่ยของ total order และจำนวนของ  date order  โดยจัดกลุ่มตาม ProductNo  ซึ่งค่าเฉลี่ยของ  total order ต้องน้อยกว่า  74.,"SELECT ProductNo, AVG(Ototal), ODate =  COUNT(*) FROM orders GROUP BY ProductNo HAVING AVG(Ototal)  < 74 ;"
แก้ไข price product ตาราง products เป็น 54 .,UPDATE products SET PPrice = 54 ;
แก้ไข total product ตาราง products เป็น 891 .,UPDATE products SET PTotal = 891 ;
แก้ไข product name ตาราง products เป็น Inlzkxpbur .,"UPDATE products SET PName = ""Inlzkxpbur"" ;"
แก้ไข product name ตาราง products เป็น Byhulgkrwc .,"UPDATE products SET PName = ""Byhulgkrwc"" ;"
เปลี่ยน price product  จาก 33 เป็น 737 ของตาราง products  .,UPDATE products SET PPrice = 737  WHERE PPrice = 33 ;
แก้ไข date order  จาก 2016-04-08 เป็น 2017-01-23 ของตาราง orderss  .,"UPDATE orderss SET ODate = ""2017-01-23""  WHERE ODate = ""2016-04-08"" ;"
แก้ไข total product ของตาราง products เป็น 674 .,UPDATE products SET PTotal = 674 ;
เปลี่ยน price product ของตาราง products เป็น 341 .,UPDATE products SET PPrice = 341 ;
แก้ไข customer address ของตาราง customers เป็น Mhyilroftz .,"UPDATE customers SET CAddress = ""Mhyilroftz"" ;"
เปลี่ยน total product  จาก 30 เป็น 906 ของตาราง products  .,UPDATE products SET PTotal = 906  WHERE PTotal = 30 ;
แก้ไข date order  จาก 2016-04-08 เป็น 2017-01-23 ของตาราง orderss  .,"UPDATE orderss SET ODate = ""2017-01-23""  WHERE ODate = ""2016-04-08"" ;"
"เพิ่ม ข้อมูลใหม่ของ เรคคอร์ด  (""Vfgwjk"", ""2017-01-23"", 931 , ""CU-002"") ลงในตาราง orderss .","INSERT INTO orderss  VALUES (""Vfgwjk"", ""2017-01-23"", 931 , ""CU-002"");"
"เพิ่ม ข้อมูลใหม่ของ เรคคอร์ด  (""Jnp"", ""Iqzpohrbne"", 803 , 326 ) ลงในตาราง products .","INSERT INTO products  VALUES (""Jnp"", ""Iqzpohrbne"", 803 , 326 );"
"เพิ่ม ข้อมูลใหม่ของ เรคคอร์ด  (""004"", ""OR-004"", 473 ) ลงในตาราง orders_details .","INSERT INTO orders_details  VALUES (""004"", ""OR-004"", 473 );"
"เพิ่ม ข้อมูลใหม่ของ เรคคอร์ด  สำหรับ (""Vfgwjk"", ""2017-01-23"", 931 , ""CU-002"") ลงในตาราง orderss .","INSERT INTO orderss  VALUES (""Vfgwjk"", ""2017-01-23"", 931 , ""CU-002"");"
"เพิ่ม ข้อมูลใหม่ของ เรคคอร์ด  (""Lmcrdi"", ""2017-01-23"", 861 , ""CU-002"") ลงในตาราง orderss .","INSERT INTO orderss  VALUES (""Lmcrdi"", ""2017-01-23"", 861 , ""CU-002"");"
"เพิ่ม ข้อมูลใหม่ของ เรคคอร์ด  (""004"", ""OR-004"", 381 ) ลงในตาราง orders_details .","INSERT INTO orders_details  VALUES (""004"", ""OR-004"", 381 );"
"เพิ่ม ข้อมูลใหม่ของ เรคคอร์ด  ลงในตาราง orderss (""Lmcrdi"", ""2017-01-23"", 861 , ""CU-002"") .","INSERT INTO orderss  VALUES (""Lmcrdi"", ""2017-01-23"", 861 , ""CU-002"");"
"เพิ่ม ข้อมูลใหม่ของ เรคคอร์ด  สำหรับ (""004"", ""OR-004"", 381 ) ลงในตาราง orders_details .","INSERT INTO orders_details  VALUES (""004"", ""OR-004"", 381 );"
"เพิ่มข้อมูลใหม่ของ เรคคอร์ด ลงในตาราง orders_details (""004"", ""OR-004"", 163 ) .","INSERT INTO orders_details  VALUES (""004"", ""OR-004"", 163 );"
"เพิ่มข้อมูลใหม่ของ เรคคอร์ด สำหรับ (""004"", ""OR-004"", 163 )ลงในตาราง orders_details .","INSERT INTO orders_details  VALUES (""004"", ""OR-004"", 163 );"
"เพิ่มข้อมูลใหม่ของ เรคคอร์ด สำหรับ (""Pqlemj"", ""2017-01-23"", 953 , ""CU-002"")ลงในตาราง orderss .","INSERT INTO orderss  VALUES (""Pqlemj"", ""2017-01-23"", 953 , ""CU-002"");"
"เพิ่มข้อมูลใหม่ของ เรคคอร์ด  (""Uqivfw"", ""Gdyvlfuk"", ""Ropbtgislj"", ""Lbqoguecrs"", ""0487635100"")ลงในตาราง customers .","INSERT INTO customers  (CustomerNo, CName, CAddress, CProvince, CPhone)  VALUES (""Uqivfw"", ""Gdyvlfuk"", ""Ropbtgislj"", ""Lbqoguecrs"", ""0487635100"");"
ลบ OR-004 จาก the orders_details ตาราง .,"DELETE FROM orders_details  WHERE OrderNo = ""OR-004"" ;"
ลบ 003 จาก the orders_details ตาราง .,"DELETE FROM orders_details  WHERE ProductNo = ""003"" ;"
ลบ 001 จาก the orders_details ตาราง .,"DELETE FROM orders_details  WHERE ProductNo = ""001"" ;"
ลบ ข้อมูลทั้งหมด ของ ตาราง orders_detailsที่มี   เท่ากับ 6.,DELETE FROM orders_details  WHERE quantity = 6 ;
ลบ ข้อมูลทั้งหมด ของ ตาราง orders_detailsที่มี   เท่ากับ 003.,"DELETE FROM orders_details  WHERE ProductNo = ""003"" ;"
ลบ 12 จาก the orders_details ตาราง .,DELETE FROM orders_details  WHERE quantity = 12 ;
ลบ 4 จาก the orders_details ตาราง .,DELETE FROM orders_details  WHERE quantity = 4 ;
ลบ 003 จาก the orders_details ตาราง .,"DELETE FROM orders_details  WHERE ProductNo = ""003"" ;"
ลบ ข้อมูลทั้งหมด ของ ตาราง orders_detailswhich contain 6 .,DELETE FROM orders_details  WHERE quantity = 6 ;
ลบ 4 จาก the orders_details ตาราง .,DELETE FROM orders_details  WHERE quantity = 4 ;
ลบ OR-002 จาก the orders_details ตาราง .,"DELETE FROM orders_details  WHERE OrderNo = ""OR-002"" ;"
ลบ ข้อมูลทั้งหมด ของ ตาราง orders_detailswhich contain 004 .,"DELETE FROM orders_details  WHERE ProductNo = ""004"" ;"
ลบ 001 จาก the orders_details ตาราง .,"DELETE FROM orders_details  WHERE ProductNo = ""001"" ;"
ลบ 004 จาก the orders_details ตาราง .,"DELETE FROM orders_details  WHERE ProductNo = ""004"" ;"
ลบ ข้อมูลทั้งหมด ของ ตาราง orders_details  which contain 6 .,DELETE FROM orders_details  WHERE quantity = 6 ;
ลบ ข้อมูลทั้งหมด ของ ตาราง orders_details  which contain 12 .,DELETE FROM orders_details  WHERE quantity = 12 ;
ลบ OR-004 จาก the orders_details ตาราง .,"DELETE FROM orders_details  WHERE OrderNo = ""OR-004"" ;"
ลบ 6 จาก the orders_details ตาราง .,DELETE FROM orders_details  WHERE quantity = 6 ;
ลบ OR-004 จาก the orders_details ตาราง .,"DELETE FROM orders_details  WHERE OrderNo = ""OR-004"" ;"
ลบ ข้อมูลทั้งหมด ของ ตาราง orders_details  ที่มีOrderNo เท่ากับ OR-004 .,"DELETE FROM orders_details  WHERE OrderNo = ""OR-004"" ;"
ลบ 12 จาก the orders_details ตาราง .,DELETE FROM orders_details  WHERE quantity = 12 ;
ลบ ข้อมูลทั้งหมด ของ ตาราง orders_details  ที่มีOrderNo เท่ากับ OR-004 .,"DELETE FROM orders_details  WHERE OrderNo = ""OR-004"" ;"
ลบ OR-002 จาก the orders_details ตาราง .,"DELETE FROM orders_details  WHERE OrderNo = ""OR-002"" ;"
ลบ ข้อมูลทั้งหมด ของ ตาราง orders_details  ที่มีProductNo เท่ากับ 001 .,"DELETE FROM orders_details  WHERE ProductNo = ""001"" ;"
ลบ ข้อมูลทั้งหมด ของ ตาราง orders_details  ที่มีProductNo เท่ากับ 003 .,"DELETE FROM orders_details  WHERE ProductNo = ""003"" ;"
ลบ 4 ออกจากตาราง orders_details .,DELETE FROM orders_details  WHERE quantity = 4 ;
ลบ ข้อมูลทั้งหมด ของ ตาราง orders_details  ที่มีquantity เท่ากับ 6 .,DELETE FROM orders_details  WHERE quantity = 6 ;
ลบ 004 ออกจากตาราง orders_details .,"DELETE FROM orders_details  WHERE ProductNo = ""004"" ;"
ลบ 001 ออกจากตาราง orders_details .,"DELETE FROM orders_details  WHERE ProductNo = ""001"" ;"
ลบ ข้อมูลทั้งหมด ของ ตาราง orders_details  ที่มีOrderNo เท่ากับ OR-002 .,"DELETE FROM orders_details  WHERE OrderNo = ""OR-002"" ;"
ลบ OR-004 ออกจากตาราง orders_details .,"DELETE FROM orders_details  WHERE OrderNo = ""OR-004"" ;"
ลบ ข้อมูลทั้งหมด ของ ตาราง products .,DELETE FROM products ;
ลบ ข้อมูลทั้งหมด ของ ตาราง customers .,DELETE FROM customers ;
ลบ ข้อมูลทั้งหมด ของ ตาราง orderss .,DELETE FROM orderss ;
ลบ ข้อมูลทั้งหมด ของ ตาราง orders_details .,DELETE FROM orders_details ;
ลบข้อมูลทั้งหมด ของ ตาราง products .,DELETE FROM products ;
ลบ ข้อมูลทั้งหมดของ products .,DELETE FROM products ;
ลบข้อมูลของตาราง products ที่มี price product เท่ากับ 62,DELETE FROM products  WHERE PPrice = 62 ;
ลบข้อมูลของตาราง orderss ที่มี date order เท่ากับ 2016-04-08,"DELETE FROM orderss  WHERE ODate = ""2016-04-08"" ;"
ลบข้อมูลของตาราง products ที่มี total product เท่ากับ 30,DELETE FROM products  WHERE PTotal = 30 ;
ลบข้อมูลของตาราง customers ที่มี customer province เท่ากับ Chanthaburi .,"DELETE FROM customers  WHERE CProvince = ""Chanthaburi"" ;"
ลบข้อมูลของตาราง customers ที่มี phone number เท่ากับ 0864364549 .,"DELETE FROM customers  WHERE CPhone = ""0864364549"" ;"
ลบข้อมูลของตาราง orderss ที่มี total order เท่ากับ 5 .,DELETE FROM orderss  WHERE Ototal = 5 ;
